City,Restaurant_Count,Latitude,Longitude,Aggregate rating
New Delhi,5473,27.398205435768315,73.90379162546502,2.4388452402704184
Gurgaon,1118,27.244717907808585,73.76257232096602,2.6514311270125224
Noida,1080,26.106910491296297,70.62713066021297,2.0362037037037037
Faridabad,251,25.941119397689242,70.53537124298805,1.8669322709163347
Ghaziabad,25,28.637474781199998,77.3624697844,2.852
Bhubaneshwar,21,16.453016752857145,69.47785703666666,3.9809523809523806
Lucknow,21,21.73813946047619,65.55336541047619,4.1952380952380945
Guwahati,21,18.694813485714285,65.55042233190477,4.190476190476191
Ahmedabad,21,23.03690963714286,72.53132398952381,4.161904761904762
Amritsar,21,25.611152856666667,60.61309755,3.6857142857142855
Abu Dhabi,20,24.4642687255,54.405998419499994,4.3
Albany,20,31.60296343,-84.18659204000001,3.5549999999999997
Agra,20,19.0166831185,54.6228302765,3.965
Savannah,20,32.069733235,-81.06866956500001,4.154999999999999
Surat,20,21.168826666,72.787681128,3.935
Augusta,20,33.48917119,-82.053204815,4.13
Aurangabad,20,15.901220759500001,60.27382031449999,3.375
Auckland,20,-35.018806837,174.76193619,4.275
Athens,20,33.95380841,-83.38049078,4.2
Ankara,20,39.906428855,32.824276161,4.305
Allahabad,20,19.0893709845,61.3787931605,3.3950000000000005
Chennai,20,13.034892899499999,80.23815012,4.3149999999999995
Des Moines,20,41.63989198,-93.662813285,4.235
Davenport,20,41.561015592000004,-90.543069471,3.715
Dehradun,20,19.724805089500002,50.738920994,4.05
Boise,20,43.610375145,-116.2418823,4.26
Cedar Rapids/Iowa City,20,41.820305785,-91.58551136,4.165
Birmingham,20,52.4752764005,-1.9016762061,3.6799999999999997
Bangalore,20,12.955034355499999,77.6344059925,4.375
Edinburgh,20,55.953480328,-3.19199994995,4.09
Doha,20,25.2862045005,51.512866177,4.0600000000000005
Dubuque,20,42.501024285,-90.678075315,3.535
Dubai,20,25.1980205835,55.274324102,4.37
Dalton,20,34.775855074999996,-85.056923845,4.11
Macon,20,32.730632594999996,-83.66086994999999,4.115
Ludhiana,20,27.804749478500003,68.2379063675,3.9799999999999995
London,20,51.512015611,-0.13108822225,4.535
Gainesville,20,34.422646199999996,-83.8516563,4.035
Jaipur,20,26.895980518,75.7944745645,4.13
Indore,20,22.736774547,75.888196957,3.97
Goa,20,13.178196682500001,62.7225063,4.245
Colombo,20,6.5591492343499995,75.8679495815,3.87
Columbus,20,32.51937822,-84.96644000500001,4.029999999999999
Cape Town,20,-33.927229892999996,18.4251830925,4.11
Bhopal,20,16.2603727335,54.191667947999996,3.95
Kochi,20,9.9928681392,76.301188904,4.08
Kolkata,20,22.541205974,88.3724881635,4.255
Kanpur,20,23.829682314499998,72.297590821,3.815
Manchester,20,53.4782088995,-2.23903381655,4.045
Mangalore,20,7.081714164499999,41.1676893885,3.745
Sioux City,20,42.498723139999996,-96.3789359,3.7649999999999997
Singapore,20,1.2939161034,103.84873413999999,3.575
Sí£o Paulo,20,-23.570185067,-46.6620110555,3.53
Tampa Bay,20,27.898321385000003,-82.568286915,4.41
Varanasi,20,16.450888249,53.944929223500004,3.5100000000000002
Wellington City,20,-41.293814186,174.77810018,4.25
Waterloo,20,42.511039305000004,-92.408520385,3.65
Vizag,20,13.297467825499998,62.492616916500005,4.005
Vadodara,20,11.155734048,36.5834827945,4.025
Valdosta,20,30.848183210000002,-83.301594095,3.715
Sharjah,20,25.3248995955,55.397934809000006,4.029999999999999
Rest of Hawaii,20,20.99757324,-157.106178445,4.41
Rio de Janeiro,20,-22.9626178605,-43.2201907225,4.265
Pretoria,20,-25.7794385265,28.257865699,4.1899999999999995
Pensacola,20,30.395173004999997,-87.198116375,4.2
Puducherry,20,11.936967769999999,79.83290421550001,3.7299999999999995
Pune,20,18.551124155,73.8496706975,4.220000000000001
Pocatello,20,42.867359085,-112.39785958,3.4850000000000003
Ranchi,20,18.6920658765,68.264918265,3.4549999999999996
Patna,20,21.772366481,72.3576488465,3.4549999999999996
Orlando,20,28.524832394999997,-81.41628769500001,4.475
Nashik,20,14.002308699,51.6304818025,3.5200000000000005
Mysore,20,11.703185705,72.80035181150001,3.6950000000000003
Nagpur,20,20.08041178,75.11540361600001,3.965
Mumbai,20,19.1143873445,72.848456371,4.085
Coimbatore,20,11.009894047,76.9781705205,4.135
Brasí_lia,20,-15.8075752835,-47.9159082735,3.495
Hyderabad,18,17.432760579444444,78.39625728611111,4.344444444444445
Chandigarh,18,30.72020503333333,76.78993902222221,4.050000000000001
Jakarta,16,-5.8136495419375,100.1433017375,4.35625
ÛÁstanbul,14,41.029903835000006,29.016331271428573,4.292857142857143
Sandton,11,-26.072717750909092,28.039619141818182,4.3
Johannesburg,6,-26.14171512333333,28.020861240000002,4.2
Mandaluyong City,4,14.583734,121.056782,4.625
Taguig City,4,14.5488025875,121.0498307,4.525
Pasay City,3,14.54144111,120.97969666666665,4.366666666666667
Pasig City,3,14.570193000000002,121.05842266666667,4.633333333333334
Bogor,2,-6.591747397,106.80907565,3.85
Inner City,2,-26.2051845,28.0460275,4.9
Secunderabad,2,17.471107,78.52623845,4.5
Tangerang,2,-6.2558529445,106.6894037,4.300000000000001
Santa Rosa,2,14.237380485,121.05681369999999,3.8
San Juan City,2,14.59617,121.03585085,4.25
Hepburn Springs,2,-37.293910350000004,144.12438170000001,3.8
